              кролик|    1|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|
                   и|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|
              чайник|    1|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|
                   2|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    0|    1|    1|    1|    1|    1|    0|    1|    1|    0|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|
              камера|    1|    0|    0|    1|    0|    1|    0|    1|    1|    0|    0|    1|    0|    1|    0|    0|    0|    0|    0|    1|    0|    0|    0|    0|    0|    1|    0|    0|    0|    1|    0|    0|    0|    0|    0|    0|    1|    1|    0|    0|
               мотор|    1|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|
               сталь|    1|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|
              мрамор|    1|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|
                   3|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    0|    1|    1|    1|    1|    1|    0|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    0|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|
                  да|    1|    1|    0|    0|    0|    0|    0|    0|    0|    0|    0|    1|    0|    1|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    1|    0|    0|    0|    0|    0|    0|    0|    0|    1|    0|    0|    1|    0|    0|    0|
                быть|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|
                свет|    1|    0|    0|    1|    0|    1|    0|    1|    0|    0|    0|    1|    0|    1|    0|    0|    0|    0|    0|    0|    0|    1|    0|    0|    0|    1|    0|    0|    0|    1|    0|    0|    0|    0|    0|    0|    0|    1|    0|    0|
                   4|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    0|    1|    1|    1|    1|    0|    0|    1|    1|    1|    0|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    0|    1|
